chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL4284911,COc1cccc(Nc2cc(Nc3ccc(S(N)(=O)=O)cc3)ncn2)c1,IC50,1229.0,nM,5.91,-8.0
CHEMBL4293134,CCOc1ccc(Nc2cc(NC(=O)c3ccccc3)ncn2)cc1,IC50,754.0,nM,6.12,-8.525
CHEMBL4281413,O=C(Nc1cc(Nc2ccc(Cl)cc2)ncn1)c1ccc(F)cc1,IC50,1409.0,nM,5.85,-8.255
CHEMBL4278997,O=C(O)CCCC(=O)Nc1cc(Nc2ccccc2)ncn1,IC50,105.0,nM,6.98,-7.35
CHEMBL4289682,O=C(O)CCCC(=O)Nc1cc(Nc2ccc(Cl)cc2)ncn1,IC50,944.0,nM,6.03,-8.036
CHEMBL4288761,CCOC(=O)CCC(=O)Nc1cc(Nc2cccc(Br)c2)ncn1,IC50,933.0,nM,6.03,-7.646
CHEMBL4278031,COc1cccc(Nc2cc(Nc3cccc(Cl)c3)ncn2)c1,IC50,974.0,nM,6.01,-8.355
CHEMBL4287629,O=C(O)CCC(=O)Nc1cc(Nc2ccc(Cl)cc2)ncn1,IC50,792.0,nM,6.1,-8.123
CHEMBL4292351,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CN4CCOCC4)cc3OC)ncc2Cl)c1,IC50,17.0,nM,7.77,-10.216
CHEMBL4291935,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CN4CCOCC4)cc3)ncc2F)c1,IC50,80.8,nM,7.09,-10.278
CHEMBL4284071,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CN4CCOCC4)cc3)ncc2Cl)c1,IC50,0.71,nM,9.15,-10.249
CHEMBL4291900,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCN4CCOCC4)cc3)ncc2Cl)c1,IC50,94.7,nM,7.02,-8.946
CHEMBL4288482,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(CC(=O)N4CCOCC4)cc3)ncc2Cl)c1,IC50,96.6,nM,7.01,-11.007
CHEMBL4277822,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(CC(=O)N4CCOCC4)cc3)ncc2Cl)c1,IC50,100.5,nM,7.0,-10.488
CHEMBL4280174,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(CN3CCOCC3)cc2)ncc1Cl,IC50,15.3,nM,7.82,-9.29
CHEMBL4288080,C=CC(=O)Nc1ccccc1Nc1nc(Nc2ccc(OCCN3CCOCC3)cc2)ncc1Cl,IC50,13.4,nM,7.87,-9.145
CHEMBL4284413,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,IC50,24.0,nM,7.62,-8.918
CHEMBL4280817,O=C1CSC(N2N=C(c3ccncc3)CC2c2ccc(Br)cc2)=N1,IC50,9.0,nM,8.05,-7.989
CHEMBL4286998,c1ccc(-c2nc3sc(-c4ccccc4)cn3n2)cc1,IC50,9800.0,nM,5.01,-8.132
CHEMBL4282482,Clc1ccc(-c2cn3nc(-c4ccccc4)nc3s2)cc1,IC50,7200.0,nM,5.14,-8.205
CHEMBL4290355,COc1ccc(-c2nc3sc(-c4ccccc4)cn3n2)cc1,IC50,5600.0,nM,5.25,-8.041
CHEMBL4279008,COc1ccc(-c2nc3sc(-c4ccc(Cl)cc4)cn3n2)cc1,IC50,1500.0,nM,5.82,-7.863
CHEMBL4286943,COc1cc(-c2nc3sc(-c4ccccc4)cn3n2)cc(OC)c1OC,IC50,2800.0,nM,5.55,-7.642
CHEMBL4289274,COc1cc(-c2nc3sc(-c4ccc(Cl)cc4)cn3n2)cc(OC)c1OC,IC50,1700.0,nM,5.77,-7.711
CHEMBL4288648,O=C1Nc2ccc(S(=O)(=O)N3CCOCC3)cc2/C1=N/c1ccc(O)cc1,IC50,751.0,nM,6.12,-8.68
CHEMBL4281426,O=C1Nc2ccc(S(=O)(=O)N3CCOCC3)cc2/C1=N/Nc1ccccc1,IC50,46.0,nM,7.34,-8.964
CHEMBL4282506,N#CCC(=O)N/N=C1\C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc21,IC50,23.0,nM,7.64,-8.278
CHEMBL4289728,N=c1oc2ccccc2cc1C(=O)N/N=C1\C(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc21,IC50,205.0,nM,6.69,-11.003
CHEMBL4561572,O=[N+]([O-])c1ccc(/C=N/Nc2nnc(-c3ccncc3)o2)cc1,IC50,412.3,nM,6.38,-7.716
CHEMBL4535881,O=C(Nc1ccccc1)Nc1nnc(-c2cccnc2)o1,IC50,275.7,nM,6.56,-8.538
CHEMBL4569755,Clc1ccc(/C=N/c2nnc(-c3cccnc3)o2)cc1,IC50,1128.9,nM,5.95,-7.802
CHEMBL4444231,CC(C)(O)Cn1/c(=N/C(=O)c2cccc(-c3cccnc3)c2)[nH]c2ccccc21,IC50,173.0,nM,6.76,-9.339
CHEMBL4449589,CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3cccnc3)c2)[nH]c2ccccc21,IC50,35.0,nM,7.46,-8.948
CHEMBL4519157,O=C1/N=C2\Nc3ccccc3N2CCCCCOc2ccccc2-c2cc1ccn2,IC50,3.0,nM,8.52,-9.589
CHEMBL4591327,CC(C)(O)Cn1/c(=N/C(=O)c2cc(F)cc(-c3cccnc3)c2)[nH]c2ccccc21,IC50,250.0,nM,6.6,-9.501
CHEMBL4532034,COc1ccncc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2CC(C)(C)O)ccn1,IC50,1.0,nM,9.0,-9.301
CHEMBL4550104,Cc1cc2cc(n1)-c1cnn(C)c1OCCCCCN1/C(=N/C2=O)Nc2ccccc21,IC50,1.0,nM,9.0,-10.825
CHEMBL4434788,CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3ccccc3)c2)[nH]c2ccccc21,IC50,22.0,nM,7.66,-9.367
CHEMBL4525935,Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3CC(C)(C)O)ccn2)cn1,IC50,43.0,nM,7.37,-9.147
CHEMBL4562138,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccccc21,IC50,0.8,nM,9.1,-9.775
CHEMBL4566193,Cn1ncc2c1OCCCCCN1/C(=N/C(=O)c3cc(F)nc-2c3)Nc2ccccc21,IC50,1.2,nM,8.92,-10.219
CHEMBL4586581,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCNCCNCC1,IC50,8.3,nM,8.08,-9.268
